"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"en","6","Math","Numbers 1","3","6","10","... are called:","Squares","Cubes","Triangular numbers"
"hi","6","Math","संख्या 1","3","6","10","... कहलाती हैं:","वर्ग","घन","त्रिभुज संख्याएँ"
"mr","6","Math","संख्या 1","3","6","10","... यांना काय म्हणतात:","वर्ग","घन","त्रिकोणी संख्या"
"en","6","Math","Which number is both triangular and square?","25","36","49","64","36","medium","Patterns in Mathematics"
"hi","6","Math","कौन-सी संख्या त्रिभुज और वर्ग दोनों है:","25","36","49","64","36","medium","Patterns in Mathematics"
"mr","6","Math","कोणती संख्या त्रिकोणी आणि वर्ग दोन्ही आहे:","25","36","49","64","36","medium","Patterns in Mathematics"
"en","6","Math","Virahanka numbers are also known as:","Fibonacci numbers","Kaprekar numbers","Collatz numbers","Prime numbers","Fibonacci numbers","medium","Patterns in Mathematics"
"hi","6","Math","विरहांका संख्याएँ किस नाम से भी जानी जाती हैं:","फिबोनाची संख्याएँ","कप्रेकर संख्याएँ","कोलात्ज संख्याएँ","अभाज्य संख्याएँ","फिबोनाची संख्याएँ","medium","Patterns in Mathematics"
"mr","6","Math","विरहांका संख्या कोणत्या नावाने ओळखल्या जातात:","फिबोनाची संख्या","कप्रेकर संख्या","कोलात्झ संख्या","अभाज्य संख्या","फिबोनाची संख्या","medium","Patterns in Mathematics"
"en","6","Math","Adding odd numbers 1+3+5+7... gives:","Triangular numbers","Square numbers","Cube numbers","Prime numbers","Square numbers","medium","Patterns in Mathematics"
"hi","6","Math","विषम संख्याएँ 1+3+5+7... जोड़ने पर क्या मिलता है:","त्रिभुज संख्याएँ","वर्ग संख्याएँ","घन संख्याएँ","अभाज्य संख्याएँ","वर्ग संख्याएँ","medium","Patterns in Mathematics"
"mr","6","Math","विषम संख्या 1+3+5+7... जोडल्यावर काय मिळते:","त्रिकोणी संख्या","वर्ग संख्या","घन संख्या","अभाज्य संख्या","वर्ग संख्या","medium","Patterns in Mathematics"
"en","6","Math","Which shape sequence relates to counting numbers starting at 3?","Regular polygons","Complete graphs","Stacked squares","Koch snowflake","Regular polygons","medium","Patterns in Mathematics"
"hi","6","Math","कौन-सा आकृति क्रम 3 से शुरू होने वाली संख्याओं से संबंधित है:","नियमित बहुभुज","पूर्ण ग्राफ","सजाए गए वर्ग","कोच हिमपुष्प","नियमित बहुभुज","medium","Patterns in Mathematics"
"mr","6","Math","कोणता आकृती क्रम ३ पासून सुरू होणाऱ्या संख्यांशी संबंधित आहे:","नियमित बहुभुज","पूर्ण ग्राफ","रचलेले चौकोन","कोच हिमपुष्प","नियमित बहुभुज","medium","Patterns in Mathematics"
"en","6","Math","The Koch snowflake sequence multiplies line segments by:","2","3","4","5","4","hard","Patterns in Mathematics"
"hi","6","Math","कोच हिमपुष्प क्रम में रेखाखंड कितने से गुणा होते हैं:","2","3","4","5","4","hard","Patterns in Mathematics"
"mr","6","Math","कोच हिमपुष्प क्रमात रेषाखंड कितीने गुणिले जातात:","2","3","4","5","4","hard","Patterns in Mathematics"
"en","6","Math","Which mathematician contributed Chapter 1?","Euclid","Manjul Bhargava","Ramanujan","Kaprekar","Manjul Bhargava","medium","Patterns in Mathematics"
"hi","6","Math","अध्याय 1 किस गणितज्ञ ने लिखा है:","यूक्लिड","मंजुल भार्गव","रामानुजन","कप्रेकर","मंजुल भार्गव","medium","Patterns in Mathematics"
"mr","6","Math","अध्याय १ कोणत्या गणितज्ञाने लिहिला आहे:","युक्लिड","मंजुल भार्गव","रामानुजन","कप्रेकर","मंजुल भार्गव","medium","Patterns in Mathematics"
"en","6","Math","Which sequence is 1","2","4","8","16","...?","Powers of 2","Powers of 3"
"hi","6","Math","क्रम 1","2","4","8","16","... क्या है:","2 की घातें","3 की घातें"
"mr","6","Math","क्रम 1","2","4","8","16","... काय आहे:","२ ची घात","३ ची घात"
"en","6","Math","Which sequence is 1","3","9","27","...?","Powers of 2","Powers of 3","Odd numbers"
"hi","6","Math","क्रम 1","3","9","27","... क्या है:","2 की घातें","3 की घातें","विषम संख्याएँ"
"mr","6","Math","क्रम 1","3","9","27","... काय आहे:","२ ची घात","३ ची घात","विषम संख्या"
"en","6","Math","Hexagonal numbers start with:","1","7","19","37","1","easy","Patterns in Mathematics"
"hi","6","Math","षट्भुज संख्याएँ किससे शुरू होती हैं:","1","7","19","37","1","easy","Patterns in Mathematics"
"mr","6","Math","षट्कोणी संख्या कुठून सुरू होतात:","1","7","19","37","1","easy","Patterns in Mathematics"
"en","6","Math","Which sequence is visualised as dots in a triangle?","Squares","Cubes","Triangular numbers","Fibonacci numbers","Triangular numbers","medium","Patterns in Mathematics"
"hi","6","Math","कौन-सा क्रम एक त्रिभुज के रूप में दर्शाया जाता है?","वर्ग","घन","त्रिभुज संख्याएँ","फिबोनाची संख्याएँ","त्रिभुज संख्याएँ","medium","Patterns in Mathematics"
"mr","6","Math","कोणता क्रम त्रिकोणाच्या स्वरूपात दर्शवला जातो?","वर्ग","घन","त्रिकोणी संख्या","फिबोनाची संख्या","त्रिकोणी संख्या","medium","Patterns in Mathematics"
"en","6","Math","Which sequence is visualised as dots in a triangle?","Squares","Cubes","Triangular numbers","Hexagonal numbers","Triangular numbers","easy","Patterns in Mathematics"
"hi","6","Math","कौन-सा क्रम त्रिभुज में बिंदुओं के रूप में दिखाया जाता है:","वर्ग","घन","त्रिभुज संख्याएँ","षट्भुज संख्याएँ","त्रिभुज संख्याएँ","easy","Patterns in Mathematics"
