topic,question,option1,option2,option3,option4,correct_answer,difficulty,language
Mensuration,What is mensuration? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),Measurement of shapes (मराठी),easy,mr
Mensuration,What is mensuration?,Measurement of shapes,Incorrect option 1,Incorrect option 3,Incorrect option 2,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),easy,mr
Data Handling,What is data handling?,Collecting and analyzing data,Incorrect option 1,Incorrect option 2,Incorrect option 3,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Collecting and analyzing data (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Data Handling,What is data handling?,Incorrect option 2,Incorrect option 3,Collecting and analyzing data,Incorrect option 1,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 1 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Collecting and analyzing data (मराठी),Incorrect option 1 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Light,What is light?,Incorrect option 1,Incorrect option 3,Incorrect option 2,Form of energy,Form of energy,easy,en
Light,What is light? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),Form of energy (हिंदी),easy,hi
Light,What is light? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),Form of energy (मराठी),easy,mr
Mensuration,What is mensuration?,Measurement of shapes,Incorrect option 2,Incorrect option 1,Incorrect option 3,Measurement of shapes,medium,en
Mensuration,What is mensuration? (हिंदी),Measurement of shapes (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),medium,hi
Mensuration,What is mensuration? (मराठी),Measurement of shapes (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),medium,mr
Nutrition,What is nutrition?,Incorrect option 3,Incorrect option 1,Process of taking food,Incorrect option 2,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Process of taking food (हिंदी),Incorrect option 2 (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Process of taking food (मराठी),Incorrect option 2 (मराठी),Process of taking food (मराठी),easy,mr
Transportation,What is transportation?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Movement of substances,Movement of substances,medium,en
Transportation,What is transportation? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Movement of substances (हिंदी),Movement of substances (हिंदी),medium,hi
Transportation,What is transportation? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Movement of substances (मराठी),Movement of substances (मराठी),medium,mr
Nutrition,What is nutrition?,Incorrect option 1,Incorrect option 2,Incorrect option 3,Process of taking food,Process of taking food,medium,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Process of taking food (हिंदी),Process of taking food (हिंदी),medium,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Process of taking food (मराठी),Process of taking food (मराठी),medium,mr
Algebra,What is algebra?,Incorrect option 3,Incorrect option 2,Use of symbols,Incorrect option 1,Use of symbols,easy,en
Algebra,What is algebra? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Use of symbols (हिंदी),Incorrect option 1 (हिंदी),Use of symbols (हिंदी),easy,hi
Algebra,What is algebra? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Use of symbols (मराठी),Incorrect option 1 (मराठी),Use of symbols (मराठी),easy,mr
Electricity,What is electricity?,Flow of charge,Incorrect option 1,Incorrect option 2,Incorrect option 3,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Flow of charge (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),medium,hi
Electricity,What is electricity? (मराठी),Flow of charge (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),medium,mr
Motion,What is motion?,Change in position,Incorrect option 3,Incorrect option 1,Incorrect option 2,Change in position,easy,en
Motion,What is motion? (हिंदी),Change in position (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Change in position (हिंदी),easy,hi
Motion,What is motion? (मराठी),Change in position (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Change in position (मराठी),easy,mr
Light,What is light?,Incorrect option 2,Incorrect option 3,Incorrect option 1,Form of energy,Form of energy,medium,en
Light,What is light? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Form of energy (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Form of energy (मराठी),Form of energy (मराठी),medium,mr
Linear Equations,What is a linear equation?,Incorrect option 2,Equation of degree one,Incorrect option 3,Incorrect option 1,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 2 (हिंदी),Equation of degree one (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 2 (मराठी),Equation of degree one (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),medium,mr
Respiration,What is respiration?,Incorrect option 3,Incorrect option 1,Incorrect option 2,Releasing energy from food,Releasing energy from food,easy,en
Respiration,What is respiration? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Releasing energy from food (हिंदी),Releasing energy from food (हिंदी),easy,hi
Respiration,What is respiration? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Releasing energy from food (मराठी),Releasing energy from food (मराठी),easy,mr
Nutrition,What is nutrition?,Process of taking food,Incorrect option 3,Incorrect option 2,Incorrect option 1,Process of taking food,medium,en
Nutrition,What is nutrition? (हिंदी),Process of taking food (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Process of taking food (हिंदी),medium,hi
Nutrition,What is nutrition? (मराठी),Process of taking food (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Process of taking food (मराठी),medium,mr
Motion,What is motion?,Incorrect option 1,Change in position,Incorrect option 2,Incorrect option 3,Change in position,easy,en
Motion,What is motion? (हिंदी),Incorrect option 1 (हिंदी),Change in position (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Change in position (हिंदी),easy,hi
Motion,What is motion? (मराठी),Incorrect option 1 (मराठी),Change in position (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Change in position (मराठी),easy,mr
